Verbatim,Species,Class,Order,Family,Genus,Epithet,Description.year,IUCN.2022.2,IUCN.2023.1,Assesement.year,Assesement.available.online,Red.Book,MADS.1912,MADS.0126,CITES,Endemic,Polygon,Polygon.name,Phylo.name,Notes
Gonatodes concinnatus,Gonatodes concinnatus,Reptilia,Gekkota,Sphaerodactylidae,Gonatodes,concinnatus,1881,LC,LC,2014,2016,NE,No,No,No,No,Yes,Gonatodes concinnatus,Gonatodes_concinnatus,
Gonatodes hasemani,Gonatodes hasemani,Reptilia,Gekkota,Sphaerodactylidae,Gonatodes,hasemani,1917,LC,LC,2014,2019,NE,No,No,No,No,No,NA,Gonatodes_hasemani,
Gonatodes humeralis,Gonatodes humeralis,Reptilia,Gekkota,Sphaerodactylidae,Gonatodes,humeralis,1855,LC,LC,2014,2019,LC,No,No,No,No,Yes,Gonatodes humeralis,Gonatodes_humeralis,
Gonatodes riveroi,Gonatodes riveroi,Reptilia,Gekkota,Sphaerodactylidae,Gonatodes,riveroi,2011,LC,LC,2013,2015,LC,No,No,No,Yes,Yes,Gonatodes riveroi,Gonatodes_riveroi,
Gonatodes vittatus,Gonatodes vittatus,Reptilia,Gekkota,Sphaerodactylidae,Gonatodes,vittatus,1856,LC,LC,2014,2016,LC,No,No,No,No,Yes,Gonatodes vittatus,Gonatodes_vittatus,
Gymnophthalmus leucomystax,Gymnophthalmus leucomystax,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Gymnophthalmus,leucomystax,1991,DD,DD,2018,2019,NE,No,No,No,No,No,NA,Gymnophthalmus_leucomystax,
Gymnophthalmus speciosus,Gymnophthalmus speciosus,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Gymnophthalmus,speciosus,1861,LC,LC,2013,2017,LC,No,No,No,No,Yes,Gymnophthalmus speciosus,Gymnophthalmus_speciosus,
Helicops angulatus,Helicops angulatus,Reptilia,Serpentes,Colubridae,Helicops,angulatus,1758,LC,LC,2015,2019,LC,No,No,No,No,Yes,Helicops angulatus,Helicops_angulatus,
Helicops danieli,Helicops danieli,Reptilia,Serpentes,Colubridae,Helicops,danieli,1938,LC,LC,2013,2015,LC,No,No,No,Yes,Yes,Helicops danieli,Helicops_danieli,
Helicops hagmanni,Helicops hagmanni,Reptilia,Serpentes,Colubridae,Helicops,hagmanni,1910,LC,LC,2014,2019,LC,No,No,No,No,Yes,Helicops hagmanni,Helicops_hagmanni,
Helicops leopardinus,Helicops leopardinus,Reptilia,Serpentes,Colubridae,Helicops,leopardinus,1837,LC,LC,2014,2019,NE,No,No,No,No,Yes,Helicops leopardinus,Helicops_leopardinus,
Helicops pastazae,Helicops pastazae,Reptilia,Serpentes,Colubridae,Helicops,pastazae,1934,LC,LC,2014,2016,LC,No,No,No,No,Yes,Helicops pastazae,Helicops_pastazae,
Helicops polylepis,Helicops polylepis,Reptilia,Serpentes,Colubridae,Helicops,polylepis,1861,LC,LC,2014,2019,LC,No,No,No,No,Yes,Helicops polylepis,Helicops_polylepis,
Helicops scalaris,Helicops scalaris,Reptilia,Serpentes,Colubridae,Helicops,scalaris,1865,LC,LC,2013,2016,LC,No,No,No,No,Yes,Helicops scalaris,Helicops_scalaris,
Helminthophis flavoterminatus,Helminthophis flavoterminatus,Reptilia,Serpentes,Anomalepididae,Helminthophis,flavoterminatus,1858,LC,LC,2015,2015,NE,No,No,No,No,No,NA,Helminthophis_flavoterminatus,
Helminthophis praeocularis,Helminthophis praeocularis,Reptilia,Serpentes,Anomalepididae,Helminthophis,praeocularis,1924,DD,DD,2013,2017,DD,No,No,No,Yes,Yes,Helminthophis praeocularis,Helminthophis_praeocularis,
Hemidactylus angulatus,Hemidactylus angulatus,Reptilia,Gekkota,Gekkonidae,Hemidactylus,angulatus,1854,LC,LC,2014,2021,LC,No,No,No,No,Yes,Hemidactylus angulatus,Hemidactylus_angulatus,
Hemidactylus frenatus,Hemidactylus frenatus,Reptilia,Gekkota,Gekkonidae,Hemidactylus,frenatus,1836,LC,LC,2019,2021,NE,No,No,No,No,No,NA,Hemidactylus_frenatus,
Hemidactylus garnotii,Hemidactylus garnotii,Reptilia,Gekkota,Gekkonidae,Hemidactylus,garnotii,1836,LC,LC,2019,2021,NE,No,No,No,No,No,NA,Hemidactylus_garnotii,
Hemidactylus mabouia,Hemidactylus mabouia,Reptilia,Gekkota,Gekkonidae,Hemidactylus,mabouia,1818,LC,LC,2019,2021,NE,No,No,No,No,Yes,Hemidactylus mabouia,Hemidactylus_mabouia,
Hemidactylus palaichthus,Hemidactylus palaichthus,Reptilia,Gekkota,Gekkonidae,Hemidactylus,palaichthus,1969,LC,LC,2015,2019,LC,No,No,No,No,Yes,Hemidactylus palaichthus,Hemidactylus_palaichthus,
Holcosus anomalus,Holcosus anomalus,Reptilia,Gymnophthalmoidea,Teiidae,Holcosus,anomalus,1977,LC,LC,2013,2016,LC,No,No,No,Yes,Yes,Holcosus anomalus,Holcosus_anomalus,
Holcosus bridgesii,Holcosus bridgesii,Reptilia,Gymnophthalmoidea,Teiidae,Holcosus,bridgesii,1869,LC,LC,2016,2017,NE,No,No,No,No,Yes,Holcosus bridgesii,Holcosus_bridgesii,
Holcosus festivus,Holcosus festivus,Reptilia,Gymnophthalmoidea,Teiidae,Holcosus,festivus,1856,LC,LC,2013,2015,LC,No,No,No,No,Yes,Holcosus festivus,Holcosus_festivus,
Holcosus leptophrys,Holcosus leptophrys,Reptilia,Gymnophthalmoidea,Teiidae,Holcosus,leptophrys,1893,LC,LC,2013,2015,LC,No,No,No,No,Yes,Holcosus leptophrys,Holcosus_leptophrys,
Holcosus niceforoi,Holcosus niceforoi,Reptilia,Gymnophthalmoidea,Teiidae,Holcosus,niceforoi,1943,LC,LC,2013,2015,LC,No,No,No,Yes,Yes,Holcosus niceforoi,Holcosus_niceforoi,
Holcosus septemlineatus,Holcosus septemlineatus,Reptilia,Gymnophthalmoidea,Teiidae,Holcosus,septemlineatus,1851,LC,LC,2013,2016,LC,No,No,No,No,Yes,Holcosus septemlineatus,Holcosus_septemlineatus,
Hydrodynastes bicinctus,Hydrodynastes bicinctus,Reptilia,Serpentes,Colubridae,Hydrodynastes,bicinctus,1804,LC,LC,2014,2019,LC,No,No,No,No,Yes,Hydrodynastes bicinctus,Hydrodynastes_bicinctus,
Hydrodynastes gigas,Hydrodynastes gigas,Reptilia,Serpentes,Colubridae,Hydrodynastes,gigas,1854,LC,LC,2014,2021,NE,No,No,No,No,No,NA,Hydrodynastes_gigas,
Hydromorphus concolor,Hydromorphus concolor,Reptilia,Serpentes,Colubridae,Hydromorphus,concolor,1859,LC,LC,2012,2013,NE,No,No,No,No,No,NA,Hydromorphus_concolor,
Hydrophis platurus,Hydrophis platurus,Reptilia,Serpentes,Elapidae,Hydrophis,platurus,1766,LC,LC,2009,2017,NE,No,No,No,No,Yes,Hydrophis platurus,Hydrophis_platurus,
Hydrops martii,Hydrops martii,Reptilia,Serpentes,Colubridae,Hydrops,martii,1824,LC,LC,2014,2019,LC,No,No,No,No,Yes,Hydrops martii,Hydrops_martii,
Hydrops triangularis,Hydrops triangularis,Reptilia,Serpentes,Colubridae,Hydrops,triangularis,1824,LC,LC,2014,2019,NE,No,No,No,No,Yes,Hydrops triangularis,Hydrops_triangularis,
Iguana iguana,Iguana iguana,Reptilia,Iguania,Iguanidae,Iguana,iguana,1758,LC,LC,2018,2022,LC,No,No,Appendix II,No,Yes,Iguana iguana,Iguana_iguana,
Imantodes cenchoa,Imantodes cenchoa,Reptilia,Serpentes,Colubridae,Imantodes,cenchoa,1758,LC,LC,2015,2019,LC,No,No,No,No,Yes,Imantodes cenchoa,Imantodes_cenchoa,
Imantodes chocoensis,Imantodes chocoensis,Reptilia,Serpentes,Colubridae,Imantodes,chocoensis,2012,LC,LC,2014,2017,NT,No,No,No,No,Yes,Imantodes chocoensis,Imantodes_chocoensis,
Imantodes gemmistratus,Imantodes gemmistratus,Reptilia,Serpentes,Colubridae,Imantodes,gemmistratus,1861,LC,LC,2012,2017,LC,No,No,No,No,Yes,Imantodes gemmistratus,Imantodes_gemmistratus,
Imantodes guane,Imantodes guane,Reptilia,Serpentes,Colubridae,Imantodes,guane,2015,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,NA,
Imantodes inornatus,Imantodes inornatus,Reptilia,Serpentes,Colubridae,Imantodes,inornatus,1896,LC,LC,2013,2016,LC,No,No,No,No,Yes,Imantodes inornatus,Imantodes_inornatus,
Imantodes lentiferus,Imantodes lentiferus,Reptilia,Serpentes,Colubridae,Imantodes,lentiferus,1894,LC,LC,2015,2019,LC,No,No,No,No,Yes,Imantodes lentiferus,Imantodes_lentiferus,
Imantodes phantasma,Imantodes phantasma,Reptilia,Serpentes,Colubridae,Imantodes,phantasma,1982,DD,DD,2012,2013,NE,No,No,No,No,Yes,Imantodes phantasma,Imantodes_phantasma,
Iphisa elegans,Iphisa elegans,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Iphisa,elegans,1851,LC,LC,2014,2019,LC,No,No,No,No,Yes,Iphisa elegans,Iphisa_elegans,
Kentropyx altamazonica,Kentropyx altamazonica,Reptilia,Gymnophthalmoidea,Teiidae,Kentropyx,altamazonica,1875,LC,LC,2014,2019,LC,No,No,No,No,Yes,Kentropyx altamazonica,Kentropyx_altamazonica,
Kentropyx pelviceps,Kentropyx pelviceps,Reptilia,Gymnophthalmoidea,Teiidae,Kentropyx,pelviceps,1868,LC,LC,2014,2019,LC,No,No,No,No,Yes,Kentropyx pelviceps,Kentropyx_pelviceps,
Kentropyx striata,Kentropyx striata,Reptilia,Gymnophthalmoidea,Teiidae,Kentropyx,striata,1802,LC,LC,2015,2019,DD,No,No,No,No,Yes,Kentropyx striata,Kentropyx_striata,
Lachesis acrochorda,Lachesis acrochorda,Reptilia,Serpentes,Viperidae,Lachesis,acrochorda,1896,LC,LC,2013,2021,LC,No,No,No,No,Yes,Lachesis acrochorda,Lachesis_acrochorda,
Lachesis muta,Lachesis muta,Reptilia,Serpentes,Viperidae,Lachesis,muta,1766,LC,LC,2015,2021,LC,No,No,No,No,Yes,Lachesis muta,Lachesis_muta,
Lampropeltis micropholis,Lampropeltis micropholis,Reptilia,Serpentes,Colubridae,Lampropeltis,micropholis,1860,LC,LC,2015,2022,NE,No,No,No,No,Yes,Lampropeltis micropholis,Lampropeltis_micropholis,
Lepidoblepharis colombianus,Lepidoblepharis colombianus,Reptilia,Gekkota,Sphaerodactylidae,Lepidoblepharis,colombianus,1968,DD,DD,2013,2017,DD,No,No,No,Yes,Yes,Lepidoblepharis colombianus,Lepidoblepharis_colombianus,
Lepidoblepharis duolepis,Lepidoblepharis duolepis,Reptilia,Gekkota,Sphaerodactylidae,Lepidoblepharis,duolepis,1983,LC,LC,2013,2015,LC,No,No,No,Yes,Yes,Lepidoblepharis duolepis,Lepidoblepharis_duolepis,
Lepidoblepharis festae,Lepidoblepharis festae,Reptilia,Gekkota,Sphaerodactylidae,Lepidoblepharis,festae,1897,LC,LC,2014,2019,NE,No,No,No,No,No,NA,Lepidoblepharis_festae,
Lepidoblepharis intermedius,Lepidoblepharis intermedius,Reptilia,Gekkota,Sphaerodactylidae,Lepidoblepharis,intermedius,1914,LC,LC,2013,2015,LC,No,No,No,No,Yes,Lepidoblepharis intermedius,Lepidoblepharis_intermedius,
Lepidoblepharis microlepis,Lepidoblepharis microlepis,Reptilia,Gekkota,Sphaerodactylidae,Lepidoblepharis,microlepis,1923,DD,DD,2013,2015,DD,No,No,No,Yes,Yes,Lepidoblepharis microlepis,Lepidoblepharis_microlepis,
Lepidoblepharis miyatai,Lepidoblepharis miyatai,Reptilia,Gekkota,Sphaerodactylidae,Lepidoblepharis,miyatai,1985,CR,CR,2013,2015,EN,EN,EN,No,No,Yes,Lepidoblepharis miyatai,Lepidoblepharis_miyatai,
Lepidoblepharis nukak,Lepidoblepharis nukak,Reptilia,Gekkota,Sphaerodactylidae,Lepidoblepharis,nukak,2016,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,NA,
Lepidoblepharis peraccae,Lepidoblepharis peraccae,Reptilia,Gekkota,Sphaerodactylidae,Lepidoblepharis,peraccae,1908,LC,LC,2013,2015,LC,No,No,No,No,Yes,Lepidoblepharis peraccae,Lepidoblepharis_peraccae,
Lepidoblepharis ruthveni,Lepidoblepharis ruthveni,Reptilia,Gekkota,Sphaerodactylidae,Lepidoblepharis,ruthveni,1926,LC,LC,2013,2015,LC,No,No,No,No,Yes,Lepidoblepharis ruthveni,Lepidoblepharis_ruthveni,
Lepidoblepharis sanctaemartae,Lepidoblepharis sanctaemartae,Reptilia,Gekkota,Sphaerodactylidae,Lepidoblepharis,sanctaemartae,1916,LC,LC,2013,2016,LC,No,No,No,No,Yes,Lepidoblepharis sanctaemartae,Lepidoblepharis_sanctaemartae,
Lepidoblepharis williamsi,Lepidoblepharis williamsi,Reptilia,Gekkota,Sphaerodactylidae,Lepidoblepharis,williamsi,1986,EN,EN,2013,2022,EN,EN,EN,No,Yes,Yes,Lepidoblepharis williamsi,Lepidoblepharis_williamsi,
Lepidoblepharis xanthostigma,Lepidoblepharis xanthostigma,Reptilia,Gekkota,Sphaerodactylidae,Lepidoblepharis,xanthostigma,1916,LC,LC,2013,2015,LC,No,No,No,No,Yes,Lepidoblepharis xanthostigma,Lepidoblepharis_xanthostigma,
Lepidodactylus lugubris,Lepidodactylus lugubris,Reptilia,Gekkota,Gekkonidae,Lepidodactylus,lugubris,1836,LC,LC,2019,2021,LC,No,No,No,No,No,NA,Lepidodactylus_lugubris,
Leptodeira annulata,Leptodeira annulata,Reptilia,Serpentes,Colubridae,Leptodeira,annulata,1758,LC,LC,2014,2019,LC,No,No,No,No,Yes,Leptodeira annulata,Leptodeira_annulata,
Leptodeira ashmeadii,Leptodeira ashmeadii,Reptilia,Serpentes,Colubridae,Leptodeira,ashmeadii,1845,NE,NE,NA,NA,NE,No,No,No,No,No,NA,NA,
Leptodeira ornata,Leptodeira ornata,Reptilia,Serpentes,Colubridae,Leptodeira,ornata,1884,NE,NE,NA,NA,NE,No,No,No,No,No,NA,NA,
Leptophis ahaetulla,Leptophis ahaetulla,Reptilia,Serpentes,Colubridae,Leptophis,ahaetulla,1758,LC,LC,2014,2019,LC,No,No,No,No,Yes,Leptophis ahaetulla,Leptophis_ahaetulla,
Leptophis cupreus,Leptophis cupreus,Reptilia,Serpentes,Colubridae,Leptophis,cupreus,1868,LC,LC,2014,2016,LC,No,No,No,No,Yes,Leptophis cupreus,Leptophis_cupreus,
Leptophis depressirostris,Leptophis depressirostris,Reptilia,Serpentes,Colubridae,Leptophis,depressirostris,1861,LC,LC,2013,2017,LC,No,No,No,No,Yes,Leptophis depressirostris,Leptophis_depressirostris,
Leptophis riveti,Leptophis riveti,Reptilia,Serpentes,Colubridae,Leptophis,riveti,1910,LC,LC,2014,2017,DD,No,No,No,No,Yes,Leptophis riveti,Leptophis_riveti,
Liotyphlops albirostris,Liotyphlops albirostris,Reptilia,Serpentes,Anomalepididae,Liotyphlops,albirostris,1858,LC,LC,2013,2017,DD,No,No,No,No,Yes,Liotyphlops albirostris,Liotyphlops_albirostris,
Liotyphlops anops,Liotyphlops anops,Reptilia,Serpentes,Anomalepididae,Liotyphlops,anops,1899,DD,DD,2013,2020,DD,No,No,No,Yes,Yes,Liotyphlops anops,Liotyphlops_anops,
Liotyphlops argaleus,Liotyphlops argaleus,Reptilia,Serpentes,Anomalepididae,Liotyphlops,argaleus,1984,DD,DD,2013,2020,DD,No,No,No,Yes,Yes,Liotyphlops argaleus,Liotyphlops_argaleus,
Liotyphlops bondensis,Liotyphlops bondensis,Reptilia,Serpentes,Anomalepididae,Liotyphlops,bondensis,1916,NE,NE,NA,NA,NE,No,No,No,No,No,NA,NA,
Liotyphlops haadi,Liotyphlops haadi,Reptilia,Serpentes,Anomalepididae,Liotyphlops,haadi,2008,DD,DD,2013,2015,DD,No,No,No,Yes,Yes,Liotyphlops haadi,Liotyphlops_haadi,
Loxopholis caparensis,Loxopholis caparensis,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Loxopholis,caparensis,2005,DD,DD,2014,2017,NE,No,No,No,No,No,NA,Leposoma_caparensis,
Loxopholis hexalepis,Loxopholis hexalepis,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Loxopholis,hexalepis,1982,LC,LC,2013,2016,DD,No,No,No,No,Yes,Loxopholis hexalepis,Leposoma_hexalepis,
Loxopholis ioanna,Loxopholis ioanna,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Loxopholis,ioanna,1971,DD,DD,2013,2017,DD,No,No,No,Yes,Yes,Loxopholis ioanna,Leposoma_ioanna,
Loxopholis parietalis,Loxopholis parietalis,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Loxopholis,parietalis,1886,LC,LC,2013,2016,LC,No,No,No,No,Yes,Loxopholis parietalis,Leposoma_parietale,
Loxopholis percarinatum,Loxopholis percarinatum,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Loxopholis,percarinatum,1923,LC,LC,2014,2019,LC,No,No,No,No,Yes,Loxopholis percarinatum,Leposoma_percarinatum,
Loxopholis rugiceps,Loxopholis rugiceps,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Loxopholis,rugiceps,1869,LC,LC,2013,2015,LC,No,No,No,No,Yes,Loxopholis rugiceps,Leposoma_rugiceps,
Loxopholis southi,Loxopholis southi,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Loxopholis,southi,1924,LC,LC,2013,2015,LC,No,No,No,No,Yes,Loxopholis southi,Leposoma_southi,
Lygophis lineatus,Lygophis lineatus,Reptilia,Serpentes,Colubridae,Lygophis,lineatus,1758,LC,LC,2014,2019,LC,No,No,No,No,Yes,Lygophis lineatus,Lygophis_lineatus,
Magdalenasaura adercum,Magdalenasaura adercum,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Magdalenasaura,adercum,2020,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,NA,
Magdalenasaura leurosquama,Magdalenasaura leurosquama,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Magdalenasaura,leurosquama,2020,NE,NE,NA,NA,NE,No,No,No,Yes,No,NA,NA,
Maracaiba zuliae,Maracaiba zuliae,Reptilia,Scincomorpha,Scincidae,Maracaiba,zuliae,2009,LC,LC,2014,2016,NE,No,No,No,No,Yes,Maracaiba zuliae,Maracaiba_zuliae,
Marisora berengerae,Marisora berengerae,Reptilia,Scincomorpha,Scincidae,Marisora,berengerae,2006,LC,LC,2013,2015,LC,No,No,No,No,Yes,Marisora berengerae,Alinea_berengerae,
Marisora falconensis,Marisora falconensis,Reptilia,Scincomorpha,Scincidae,Marisora,falconensis,1997,LC,LC,2013,2016,LC,No,No,No,Yes,Yes,Marisora falconensis,Marisora_falconensis,
Marisora pergravis,Marisora pergravis,Reptilia,Scincomorpha,Scincidae,Marisora,pergravis,1921,LC,LC,2013,2015,LC,No,No,No,No,Yes,Marisora pergravis,Alinea_pergravis,
Masticophis mentovarius,Masticophis mentovarius,Reptilia,Serpentes,Colubridae,Masticophis,mentovarius,1854,LC,LC,2013,2015,LC,No,No,No,No,Yes,Masticophis mentovarius,Coluber_mentovarius,
Mastigodryas alternatus,Mastigodryas alternatus,Reptilia,Serpentes,Colubridae,Mastigodryas,alternatus,1884,LC,LC,2012,2022,NE,No,No,No,No,No,NA,NA,
Mastigodryas boddaerti,Mastigodryas boddaerti,Reptilia,Serpentes,Colubridae,Mastigodryas,boddaerti,1796,LC,LC,2014,2019,LC,No,No,No,No,Yes,Mastigodryas boddaerti,Mastigodryas_boddaerti,
Mastigodryas danieli,Mastigodryas danieli,Reptilia,Serpentes,Colubridae,Mastigodryas,danieli,1935,LC,LC,2013,2016,LC,No,No,No,Yes,Yes,Mastigodryas danieli,Mastigodryas_danieli,
Mastigodryas pleii,Mastigodryas pleii,Reptilia,Serpentes,Colubridae,Mastigodryas,pleii,1854,LC,LC,2014,2019,LC,No,No,No,No,Yes,Mastigodryas pleei,Mastigodryas_pleei,
Mastigodryas pulchriceps,Mastigodryas pulchriceps,Reptilia,Serpentes,Colubridae,Mastigodryas,pulchriceps,1868,LC,LC,2013,2017,LC,No,No,No,No,Yes,Mastigodryas pulchriceps,Mastigodryas_pulchriceps,
Mesobaena huebneri,Mesobaena huebneri,Reptilia,Amphisbaenia,Amphisbaenidae,Mesobaena,huebneri,1925,LC,LC,2013,2016,LC,No,No,No,No,Yes,Mesobaena huebneri,Mesobaena_huebneri,
Micrurus ancoralis,Micrurus ancoralis,Reptilia,Serpentes,Elapidae,Micrurus,ancoralis,1872,LC,LC,2013,2017,LC,No,No,No,No,Yes,Micrurus ancoralis,Micrurus_ancoralis,
Micrurus camilae,Micrurus camilae,Reptilia,Serpentes,Elapidae,Micrurus,camilae,2003,DD,DD,2013,2016,DD,No,No,No,Yes,Yes,Micrurus camilae,Micrurus_camilae,
Micrurus clarki,Micrurus clarki,Reptilia,Serpentes,Elapidae,Micrurus,clarki,1936,LC,LC,2013,2022,LC,No,No,No,Yes,Yes,Micrurus clarki,Micrurus_clarki,
Micrurus dissoleucus,Micrurus dissoleucus,Reptilia,Serpentes,Elapidae,Micrurus,dissoleucus,1860,LC,LC,2013,2015,LC,No,No,No,No,Yes,Micrurus dissoleucus,Micrurus_dissoleucus,
Micrurus dumerilii,Micrurus dumerilii,Reptilia,Serpentes,Elapidae,Micrurus,dumerilii,1858,LC,LC,2013,2020,LC,No,No,No,No,Yes,Micrurus dumerilii,Micrurus_dumerilii,
Micrurus filiformis,Micrurus filiformis,Reptilia,Serpentes,Elapidae,Micrurus,filiformis,1859,LC,LC,2014,2019,LC,No,No,No,No,Yes,Micrurus filiformis,Micrurus_filiformis,
Micrurus hemprichii,Micrurus hemprichii,Reptilia,Serpentes,Elapidae,Micrurus,hemprichii,1858,LC,LC,2014,2019,NE,No,No,No,No,Yes,Micrurus hemprichii,Micrurus_hemprichii,
Micrurus isozonus,Micrurus isozonus,Reptilia,Serpentes,Elapidae,Micrurus,isozonus,1860,LC,LC,2014,2019,LC,No,No,No,No,Yes,Micrurus isozonus,Micrurus_isozonus,
Micrurus langsdorffi,Micrurus langsdorffi,Reptilia,Serpentes,Elapidae,Micrurus,langsdorffi,1824,LC,LC,2014,2019,LC,No,No,No,No,Yes,Micrurus langsdorffi,Micrurus_langsdorffi,
Micrurus lemniscatus,Micrurus lemniscatus,Reptilia,Serpentes,Elapidae,Micrurus,lemniscatus,1758,LC,LC,2015,2019,LC,No,No,No,No,Yes,Micrurus lemniscatus,Micrurus_lemniscatus,
Micrurus medemi,Micrurus medemi,Reptilia,Serpentes,Elapidae,Micrurus,medemi,1967,CR,CR,2013,2019,EN,EN,EN,No,Yes,Yes,Micrurus medemi,Micrurus_medemi,
Micrurus mipartitus,Micrurus mipartitus,Reptilia,Serpentes,Elapidae,Micrurus,mipartitus,1854,LC,LC,2013,2022,LC,No,No,No,No,Yes,Micrurus mipartitus,Micrurus_mipartitus,
Micrurus multifasciatus,Micrurus multifasciatus,Reptilia,Serpentes,Elapidae,Micrurus,multifasciatus,1858,LC,LC,2012,2013,NE,No,No,No,No,No,NA,Micrurus_multifasciatus,
Micrurus multiscutatus,Micrurus multiscutatus,Reptilia,Serpentes,Elapidae,Micrurus,multiscutatus,1940,NT,NT,2013,2015,NT,No,No,No,Yes,Yes,Micrurus multiscutatus,Micrurus_multiscutatus,
Micrurus narduccii,Micrurus narduccii,Reptilia,Serpentes,Elapidae,Micrurus,narduccii,1863,LC,LC,2014,2016,LC,No,No,No,No,Yes,Micrurus narduccii,Micrurus_narduccii,
Micrurus nattereri,Micrurus nattereri,Reptilia,Serpentes,Elapidae,Micrurus,nattereri,1952,LC,LC,2014,2019,LC,No,No,No,No,Yes,Micrurus nattereri,Micrurus_nattereri,
Micrurus nigrocinctus,Micrurus nigrocinctus,Reptilia,Serpentes,Elapidae,Micrurus,nigrocinctus,1854,LC,LC,2013,2015,LC,No,No,No,No,Yes,Micrurus nigrocinctus,Micrurus_nigrocinctus,
Micrurus obscurus,Micrurus obscurus,Reptilia,Serpentes,Elapidae,Micrurus,obscurus,1872,LC,LC,2014,2019,LC,No,No,No,No,Yes,Micrurus obscurus,Micrurus_obscurus,
Micrurus oligoanellatus,Micrurus oligoanellatus,Reptilia,Serpentes,Elapidae,Micrurus,oligoanellatus,2005,DD,DD,2013,2015,DD,No,No,No,Yes,Yes,Micrurus oligoanellatus,Micrurus_oligoanellatus,
Micrurus ornatissimus,Micrurus ornatissimus,Reptilia,Serpentes,Elapidae,Micrurus,ornatissimus,1858,LC,LC,2014,2017,LC,No,No,No,No,Yes,Micrurus ornatissimus,Micrurus_ornatissimus,
Micrurus psyches,Micrurus psyches,Reptilia,Serpentes,Elapidae,Micrurus,psyches,1803,LC,LC,2014,2019,NE,No,No,No,No,No,NA,Micrurus_psyches,
Micrurus putumayensis,Micrurus putumayensis,Reptilia,Serpentes,Elapidae,Micrurus,putumayensis,1962,LC,LC,2014,2019,DD,No,No,No,No,Yes,Micrurus putumayensis,Micrurus_putumayensis,
Micrurus remotus,Micrurus remotus,Reptilia,Serpentes,Elapidae,Micrurus,remotus,1987,LC,LC,2015,2019,DD,No,No,No,No,Yes,Micrurus remotus,Micrurus_remotus,
Micrurus renjifoi,Micrurus renjifoi,Reptilia,Serpentes,Elapidae,Micrurus,renjifoi,2003,DD,DD,2013,2019,DD,No,No,No,Yes,Yes,Micrurus renjifoi,Micrurus_renjifoi,
Micrurus sangilensis,Micrurus sangilensis,Reptilia,Serpentes,Elapidae,Micrurus,sangilensis,1942,VU,VU,2013,2019,VU,VU,VU,No,Yes,Yes,Micrurus sangilensis,Micrurus_sangilensis,
Micrurus scutiventris,Micrurus scutiventris,Reptilia,Serpentes,Elapidae,Micrurus,scutiventris,1869,LC,LC,2014,2019,DD,No,No,No,No,Yes,Micrurus scutiventris,Micrurus_scutiventris,
Micrurus spixii,Micrurus spixii,Reptilia,Serpentes,Elapidae,Micrurus,spixii,1824,LC,LC,2013,2019,LC,No,No,No,No,Yes,Micrurus spixii,Micrurus_spixii,
Micrurus spurrelli,Micrurus spurrelli,Reptilia,Serpentes,Elapidae,Micrurus,spurrelli,1914,NT,NT,2013,2015,NT,No,No,No,Yes,Yes,Micrurus spurrelli,Micrurus_spurrelli,
Micrurus surinamensis,Micrurus surinamensis,Reptilia,Serpentes,Elapidae,Micrurus,surinamensis,1816,LC,LC,2014,2019,LC,No,No,No,No,Yes,Micrurus surinamensis,Micrurus_surinamensis,
Micrurus tikuna,Micrurus tikuna,Reptilia,Serpentes,Elapidae,Micrurus,tikuna,2015,NE,NE,NA,NA,NE,No,No,No,No,No,NA,NA,
Enyalioides annularis,Enyalioides annularis,Reptilia,Iguania,Hoplocercidae,Enyalioides,annularis,1881,VU,VU,2014,2016,VU,VU,VU,No,No,Yes,Enyalioides annularis,Morunasaurus_annularis,
Enyalioides groi,Enyalioides groi,Reptilia,Iguania,Hoplocercidae,Enyalioides,groi,1933,EN,EN,2013,2016,EN,EN,EN,No,No,Yes,Enyalioides groi,Morunasaurus_groi,
Neusticurus medemi,Neusticurus medemi,Reptilia,Gymnophthalmoidea,Gymnophthalmidae,Neusticurus,medemi,1981,LC,LC,2013,2022,LC,No,No,No,Yes,Yes,Neusticurus medemi,Neusticurus_medemi,
Ninia atrata,Ninia atrata,Reptilia,Serpentes,Colubridae,Ninia,atrata,1845,LC,LC,2015,2016,LC,No,No,No,No,No,NA,Ninia_atrata,
Ninia hudsoni,Ninia hudsoni,Reptilia,Serpentes,Colubridae,Ninia,hudsoni,1940,LC,LC,2014,2019,DD,No,No,No,No,Yes,Ninia hudsoni,Ninia_hudsoni,
